title,author,edition_count,cover_url,book_url,publish_date,publisher,language,pages,subjects
Gute Gestaltung 15 / Good Design 15,Deutscher Designer Deutscher Designer Cl...,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL25694520W/Gute_Gestaltung_15_Good_Design_15?edition=key%3A/books/OL34515683M,2015,"de Gruyter GmbH, Walter",German,520,"Design, Graphic arts, Awards, Arts, germany"
Key images of American life: Pulitzer Prize winning pictures,Heinz Dietrich Fischer,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL22953077W/Key_images_of_American_life?edition=key%3A/books/OL30860100M,2015,Lit,English,211,"Pulitzer Prizes, Awards, Photojournalism, Pictorial works, Social life and customs, Documentary photography, Pulitzer prizes, United states, pictorial works, United States"
Di er jie CAFAM wei lai zhan: chuang ke chuang ke : Zhongguo qing nian yi shu de xian shi biao zheng ti ming ji,"Xu, Bing, Huangsheng Wang, Chunchen Wang",1,https://covers.openlibrary.org/b/id/13192383-M.jpg,https://openlibrary.org/works/OL22928325W/Di_er_jie_CAFAM_wei_lai_zhan?edition=key%3A/books/OL30835183M,2015,Zhongguo qing nian chu ban she,Chinese,593,"Art, Awards, Exhibitions, Modern Art, Chinese Art, China, 21st century"
"You, me & mobile: stories from South Asian countries",Osama Manzar,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL22897954W/You_me_mobile?edition=key%3A/books/OL30810728M,2015,Inomy Media,English,110,"Information technology, Awards, Case studies, Societies"
"Der Wettbewerb zur Wiener Ringstrasse: Entstehung, Projekte, Auswirkungen",Harald R. Stühlinger,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL22958419W/Der_Wettbewerb_zur_Wiener_Ringstrasse?edition=key%3A/books/OL30865002M,2015,"Birkhäuser, ein Unternehmen der Walter de Gruyter GmbH, Berlin",German,395,"Competitions, City planning, Buildings, structures, History, Architecture, austria, vienna, Architecture, Awards, Austria, Vienna (Austria), Ringstrasse (Vienna, Austria), Vienna, 19th century"
SIA Architectural Design Award 2014,Singapore Institute of Architects,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL22887217W/SIA_Architectural_Design_Award_2014?edition=key%3A/books/OL30801362M,2015,SIA Press Pte Ltd,English,599,"Competitions, Awards, Architecture, Singapore"
"""Song lin bei"" guo ji gong ye she ji da sai you xiu zuo pin ji: Solux cup international industrial design competition awards collection = Songlinbei guoji gongye sheji dasai youxiu zuopinji",Chao Yan,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL22902861W/Song_lin_bei_guo_ji_gong_ye_she_ji_da_sai_you_xiu_zuo_pin_ji?edition=key%3A/books/OL30814743M,2015,Dong hua da xue chu ban she,Chinese,127,"Industrial design, Awards"
"The Coretta Scott King Awards, 1970-2014",Carole J. McCollough,1,https://covers.openlibrary.org/b/id/12720932-M.jpg,https://openlibrary.org/works/OL23196412W/The_Coretta_Scott_King_Awards_1970-2014?edition=key%3A/books/OL31030146M,2015,"ALA Editions, an imprint of the American Library Association",English,155,"Coretta Scott King Award, American literature, Bibliography, African American authors, Awards, Children's literature, American, African Americans in literature, Children, Books and reading, United States"
Aunties: the seven summers of Alevtina and Ludmila,Nadia Sablin,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL22317305W/Aunties?edition=key%3A/books/OL30395674M,2015,Published by Duke University Press in association with the Center for Documentary Studies,English,,"Social life and customs, Photography, Awards, Documentary photography, Pictorial works, Russia (federation), social life and customs, Manners and customs, United States, Northwestern Russia"
Itinerarios XXI: Carles Congost ...,Spain) Convocatoria de Becas de Artes Pl...,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32644031W/Itinerarios_XXI?edition=key%3A/books/OL44457155M,2015,Fundación Botín,Spanish,193,"Modern Art, Exhibitions, Art, Awards, Spain, Santander, 21st century"
