title,author,edition_count,cover_url,book_url,publish_date,publisher,language,pages,subjects
"עיר של מתנדבים: זוכי הפרס על שם זאב גלר, על עשיה התנדבותית למען הזולת בכפר סבא 2016־1985",Moshe Gromb,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL43495275W/עיר_של_מתנדבים?edition=key%3A/books/OL59280137M,2017,נדב,Hebrew,190,"Volunteers, Awards, Zeʼev Geler, Israel, Kefar Sava"
Nicolas-Born-Preis 2017,"Franzobel, Julia Wolf, Alexander Kos enina, Lower Saxony (Germany). Ministerium fu r...",1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL43770152W/Nicolas-Born-Preis_2017?edition=key%3A/books/OL59665339M,2017,Wehrhahn Verlag,German,47,"Awards, Literary prizes, Franzobel (1967-), Julia Wolf (1980-), Germany, Lower Saxony"
Gibore Yiśraʼel meḳable tsiyun le-shevaḥ shel ha-aluf: Heroes of Israel recipients Major General (Aluf) citation,Offer Drori,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32474810W/Gibore_Yiśraʼel_meḳable_tsiyun_le-shevaḥ_shel_ha-aluf?edition=key%3A/books/OL44260506M,2017,Deror,Hebrew,420,"Medals, badges, decorations, Biography, Armed Forces, Israel. Tseva haganah le-Yiśraʼel, Israel, Soldiers, Awards"
Die Deutschen Friedensnobelpreiskandidaten Im Kaiserreich 1901-1918,Thomas Sirges,4,https://covers.openlibrary.org/b/id/13603453-M.jpg,https://openlibrary.org/works/OL21615507W/Die_Deutschen_Friedensnobelpreiskandidaten_Im_Kaiserreich_1901-1918?edition=key%3A/books/OL29365344M,2017,"Lang GmbH, Internationaler Verlag der Wissenschaften, Peter",German,356,"Nobel prizes, Germany, biography, Nobel Prize winners, Biography, Pacifists, History, Peace, Awards"
Young Architects 17: Authenticity,"Architectural League of New York, Meredith, Michael, Anne Rieselbach",1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL29038649W/Young_Architects_17?edition=key%3A/books/OL39937700M,2017,"Monfried Editions, Andrea",English,176,"Architecture, united states, Architects, Exhibitions, Architecture, Awards, History, Young architects, Architectural League Prize for Young Architects and Designers, Architectural League Prize for Young Architects and Designers (uri) http://id.loc.gov/authorities/names/n2010082694 (uri) http://viaf.org/viaf/sourceID/LC|n2010082694"
"Interview with Mo Ibrahim, interviewed by Tarun Khanna, London, United Kingdom","Mo Ibrahim, Tarun Khanna, Harvard Business School",1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL44224600W/Interview_with_Mo_Ibrahim_interviewed_by_Tarun_Khanna_London_United_Kingdom?edition=key%3A/books/OL60456781M,2017,Harvard Business School,English,55,"Interviews, Telecommunication, Businessmen, Corruption, Entrepreneurship, Infrastructure (Economics), Leadership, Awards, New business enterprises, Finance, Personnel management, Business, History, Commerce, Politics and government, Statistics, Celtel (Firm), Mo Ibrahim Foundation, Mo Ibrahim (1946-), Africa, Sub-Saharan Africa"
Interviews with the Abel Prize Laureates 2003-2016,Martin Raussen,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL26750281W/Interviews_with_the_Abel_Prize_Laureates_2003-2016?edition=key%3A/books/OL36226573M,2017,American Mathematical Society,English,287,"Mathematicians, Interviews, Mathematics, Awards"
Come vincere un Nobel: il premio più famoso della scienza,Massimiano Bucchi,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL44236589W/Come_vincere_un_Nobel?edition=key%3A/books/OL60470457M,2017,Giulio Einaudi editore s.p.a.,Italian,236,"Nobel Prizes, Nobel Prize winners, Science, Awards"
"""Es geht um's Tun und nicht um's Siegen"": Erich-Mu hsam-Preis 2016 an Konstantin Wecker : Erich-Mu hsam-Fo rderpreis 2016 an das Lu becker Flu chtlingsforum : Stifter der Preise : Frank-Thomas Gaulin",Erich-Mu hsam-Gesellschaft,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL44272020W/Es_geht_um's_Tun_und_nicht_um's_Siegen?edition=key%3A/books/OL60511185M,2017,"EMG, Erich-Mu hsam-Gesellschaft",German,48,"Awards, Erich-Mu hsam-Preis, Lu becker Flu chtlingsforum, Konstantin Wecker, Erich Mu hsam (1878-1934)"
"Adaptation, Awards Culture, and the Value of Prestige","Colleen Kennedy-Karpat, Eric Sandberg",2,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL20839904W/Adaptation_Awards_Culture_and_the_Value_of_Prestige?edition=key%3A/books/OL37271395M,2017,Springer International Publishing AG,English,239,"Literature, Adaptations, History and criticism, Film adaptations, Stage adaptations, Social influence, Social status, Prestige, Awards, Social aspects"
