title,author,edition_count,cover_url,book_url,publish_date,publisher,language,pages,subjects
BMS '19: Bakat Muda Sezaman = Young contemporaries : OPEN + LAB,Balai Seni Lukis Negara (Malaysia),1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL31849350W/BMS_'19?edition=key%3A/books/OL43554575M,2018,Balai Seni Negara,English,334,"Malaysian Art, Exhibitions, Modern Art, Art, Competitions, Awards, Artists, Biography, Young artists, Art museum curators, Malaysia, 21st century"
Premio Alberto J. Trabucco 2018: dibujo,Argentina) Premio Alberto J. Trabucco. D...,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL31787312W/Premio_Alberto_J._Trabucco_2018?edition=key%3A/books/OL43482755M,2018,Fundación Alberto J. Trabucco,Spanish,40,"Exhibitions, Drawing, Awards, Argentine Drawing, Marcelo Boullosa, Argentina, 21st century"
Young Talent Architecture Award 2016,"Ivan Blasi, Anna Sala Giralt",1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32614098W/Young_Talent_Architecture_Award_2016?edition=key%3A/books/OL44425169M,2018,Fundació Mies van der Rohe,English,171,"Architecture, History, Designs and plans, Domestic Architecture, Housing, Architecture and society, Awards, Young architects, Europe, 21st century"
Young Talent Architectture Award 2018,"Ivan Blasi, Anna Sala Giralt",1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32614099W/Young_Talent_Architectture_Award_2018?edition=key%3A/books/OL44425170M,2018,Fundació Mies van der Rohe,English,203,"Architecture, History, Designs and plans, Domestic Architecture, Housing, Architecture and society, Awards, Young architects, Europe, 21st century"
Prix Littéraires du Gouverneur Général du Canada: Une Bibliographie,"Andrew David Irvine, Edmond Rivère, Stephanie Tolman",3,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL26498389W/Prix_Littéraires_du_Gouverneur_Général_du_Canada?edition=key%3A/books/OL51319334M,2018,University of Ottawa Press/Les Presses de l'Universite d'Ottawa,French,,"Canadian literature, bibliography, Awards"
Tercer Gran Premio Nacional de Periodismo Gonzo 2017,Rodrigo Islas Brito,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32409526W/Tercer_Gran_Premio_Nacional_de_Periodismo_Gonzo_2017?edition=key%3A/books/OL44179503M,2018,Producciones El Salario del Miedo,Spanish,130,"Journalism, Awards, Mexico, 21st century"
Yayin ḥalomot: asupat sipurim zokhe Peras Gefen,Rani Graff,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32474830W/Yayin_ḥalomot?edition=key%3A/books/OL44260528M,2018,"Graf, hotsaʼah la-or",Hebrew,534,"Hebrew Short stories, Hebrew Science fiction, Hebrew Fantasy fiction, Peras Gefen, Science fiction, Awards, Fantasy fiction, Israel"
"L'urbanisme des milieux vivants: Agence TER (Henri Bava, Michel Hössler, Olivier Philippe) : Grand prix de l'urbanisme 2018 : nominés, Patrick Bouchain, François Leclercq, Jacqueline Osty",Ariella Masboungi,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32592816W/L'urbanisme_des_milieux_vivants?edition=key%3A/books/OL44402811M,2018,Éditions Parenthèses,French,171,"Grand prix de l'urbanisme, Urban landscape architecture, City planning, Awards, Agence Ter (Firm), Henri Bava (1957-), Michel Hoessler (1958-), Olivier Philippe (1954-), France"
Zhenskie nagrady Rossiĭskoĭ imperii za milosergie,S. S. Levin,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32583991W/Zhenskie_nagrady_Rossiĭskoĭ_imperii_za_milosergie?edition=key%3A/books/OL44393577M,2018,Izdatelʹskiĭ Dom TONChU,Russian,295,"Women, Awards, History, Women philanthropists, Decorations of honor, Medals, Women medalists, Miscellanea, Russia, Russia (Federation)"
História crítica do Prémio Valmor,José Manuel Pedreirinho,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32602579W/História_crítica_do_Prémio_Valmor?edition=key%3A/books/OL44413054M,2018,Argumentum,Portuguese,175,"Prémio Valor, History, Architecture, Awards, Portugal, Lisbon"
Battaglia foundry sculpture prize 2018,Fonderia artistica Battaglia,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32575494W/Battaglia_foundry_sculpture_prize_2018?edition=key%3A/books/OL44384538M,2018,Cura.books,English,38,"Artists' preparatory studies, Catalogs, Bronze sculpture, Awards, 21st century"
30 jaar Heinekenprijs voor de Kunst: 30 year Heineken Prize for Art,"Charlene de Carvalho-Heineken, Diana Franssen, Alyxandra Westwood",1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32595579W/30_jaar_Heinekenprijs_voor_de_Kunst?edition=key%3A/books/OL44405694M,2018,Van Abbemuseum,"Dutch,English",136,"Dr. A.H. Heinekenprijs voor de Kunst, Exhibitions, History, Art, Awards, Dutch Art, Netherlands, 20th century, 21st century"
Von Gorbatschow bis Biermann: der Point-Alpha-Preis für die Einheit Deutschlands und Europas,"Jürgen Aretz, Christine Lieberknecht",1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32601293W/Von_Gorbatschow_bis_Biermann?edition=key%3A/books/OL44411715M,2018,Klartext,German,240,"Peace, Awards, Award presentations, Germany, Europe"
Le village,Corentin Fohlen,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32601746W/Le_village?edition=key%3A/books/OL44412183M,2018,Le Bec en l'air,French,127,"Documentary photography, Photography, Awards, Pictorial works, Haiti, Morne-à-Cabri, France, Morne-à-Cabri (Haiti)"
"Toshokan, shuppan bunka no shōjiten: A reference guide to awards and prizes of libraries and publication culture",Nichigai Asoshiētsu,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32484070W/Toshokan_shuppan_bunka_no_shōjiten?edition=key%3A/books/OL44273049M,2018,Nichigai Asoshiētsu,Japanese,431,"Libraries and publishing, Directories, Awards, Japan"
"Losing the Nobel Prize: A Story of Cosmology, Ambition, and the Perils of Science's Highest Honor",Brian Keating,3,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL19741481W/Losing_the_Nobel_Prize?edition=key%3A/books/OL29785868M,2018,"Norton & Company, Incorporated, W. W.",English,368,"Methodology, Awards, Nobel Prizes, Science, Astronomy, Big bang theory, Cosmology, Science, methodology, Nobel prizes"
The family Tabor,Cherise Wolas,6,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL19747988W/The_family_Tabor?edition=key%3A/books/OL26961040M,2018,,English,381,"Families, Secrecy, Awards, Fiction, Fiction, family life, Jews, fiction"
