title,author,edition_count,cover_url,book_url,publish_date,publisher,language,pages,subjects
Hon'yaku no shōjiten: A reference guide to awards and prizes for translation,Nichigai Asoshiētsu,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32149251W/Hon'yaku_no_shōjiten?edition=key%3A/books/OL43886576M,2019,Nichigai Asoshiētsu,Japanese,337,"Translating and interpreting, Handbooks, manuals, Awards, Hon'yaku-Benran, Hyōshō-Benran, Bungakushō, Japan"
"Marta-Preis der Wemhöner Stiftung, 2014-2018: Marta Award by the Wemhöner Foundation, 2014-2018",Roland Nachtigäller,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32258531W/Marta-Preis_der_Wemhöner_Stiftung_2014-2018?edition=key%3A/books/OL44005067M,2019,Marta Herford GmbH,"German,English",112,"German Art, Art, Awards, Wemhöner Stiftung (Herford, Germany), Germany, Herford, 21st century"
Architectures on the waterfront,"Ivan Blasi, Anna Sala Giralt",1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32258706W/Architectures_on_the_waterfront?edition=key%3A/books/OL44005246M,2019,Fundació Mies van der Rohe,English,88,"Waterfronts, Exhibitions, City planning, Mies van der Rohe Pavilion Award for European Architecture, Architecture, Awards, Europe"
"DPIc, Architecture, Art and Image - Utopia 500: DPIc, arquitetura, arte e imagem - Utopia 500","Pedro Leão Neto, Fátima Vieira",1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32299785W/DPIc_Architecture_Art_and_Image_-_Utopia_500?edition=key%3A/books/OL44049006M,2019,U.Porto Press,Portuguese,31,"Visionary architecture, Space (Architecture), Utopias, Architecture, Awards, Competitions, Portugal, Porto"
Periodismo cultural: veinte años de historia,"Julieta Carabaza, Sergio Humberto Arévalo Aguirre, Brenda Margarita Macías Sánchez, Elsa Lucía Tamez Aguirre",1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32317725W/Periodismo_cultural?edition=key%3A/books/OL44067858M,2019,Universidad Autónoma de Coahuila,Spanish,136,"Journalism, Awards, Journalists, Premio Estatal de Periodismo Cultural Armando Fuentes Aguirre, Mexico, Coahuila (State)"
"Zanurzenie, naznaczenie, interpolacje: cykl wystaw Laureaci w centrum uwagi 2019 = Immersion, marking, interpolations : series of exhibitions Laureates in the centre of attention 2019","Zuzanna Dyrda, Marta Anna Raczek-Karcz, Katarzyna Sokołowska",1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32322224W/Zanurzenie_naznaczenie_interpolacje?edition=key%3A/books/OL44072526M,2019,Stowarzyszenie Międzynarodowe Triennale Grafiki w Krakowie,Polish,107,"Prints, Awards, Międzynarodowe Triennale Grafiki fast (OCoLC)fst01408252, Karol Pomykała, Zuzanna Dyrda, Marcin Pazera"
"Max-Pechstein-Förderpreis der Stadt Zwickau: 01.09. bis 27.10.2019, Kunstsammlungen Zwickau",Kulturamt Zwickau,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32340185W/Max-Pechstein-Förderpreis_der_Stadt_Zwickau?edition=key%3A/books/OL44093210M,2019,Kunstsammlungen Zwickau,German,80,"German Art, Exhibitions, Art, Awards, Germany, Zwickau, 21st century"
Premio Latinoamericano de Arquitectura Rogelio Salmona: espacios abiertos / espacios colectivos : tercer ciclo 2018 = Prêmio Latino-Americano de Arquitetura Rogelio Salmona : espaços abertos / espaços coletivos : tercero ciclo 2018,Claudia Burgos Ángel,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32340370W/Premio_Latinoamericano_de_Arquitectura_Rogelio_Salmona?edition=key%3A/books/OL44093414M,2019,Fundación Rogelio Salmona,Spanish,235,"Modern Architecture, Competitions, Architecture, Awards, History, Colombia, Latin America"
"Felicità: Beaux-Arts de Paris, Beaux-Arts de Nantes Saint-Nazaire",Olivia Sanchez,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32331436W/Felicità?edition=key%3A/books/OL44083503M,2019,Beaux-arts de Paris éditions,French,175,"Exhibitions, Graduate work, Art, Awards, History, French Art, Artists, Interviews, Beaux-arts de Paris (Art school), École régionale des beaux-arts de Nantes, France, 21st century"
"XX Bijenale studentskog crteža Srbije, 11-24. 5. 2019",Maida Gruden,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32273419W/XX_Bijenale_studentskog_crteža_Srbije_11-24._5._2019?edition=key%3A/books/OL44020809M,2019,"Dom kulture ""Studentski grad""",Serbian,45,"Graphic arts, Study and teaching, Technique, Awards, Competitions, Exhibitions, Graphic artists, Art students, College students' art, Bijenale studentskog crteža Srbije, Serbia"
