title,author,published_year,subject,language,cover
Premiums offered by the Quebec Agricultural Society,Quebec Agricultural Society.,1985,"Agriculture -- Societies, etc. -- Québec (Province).",eng,https://covers.openlibrary.org/b/id/7096959-L.jpg
Deja Blue,New York Post,2012,"Football, Awards, Football teams, JUVENILE NONFICTION, Sports & Recreation, SPORTS & RECREATION, New York Giants (Football team)",eng,https://covers.openlibrary.org/b/id/10747259-L.jpg
The National Service Trust Act of 1993,United States. Congress. Senate. Committee on Labor and Human Resources.,1993,"National service -- Law and legislation -- United States, Volunteers -- Legal status, laws, etc. -- United States, Volunteer workers in education -- Awards -- United States",eng,https://covers.openlibrary.org/b/id/4582777-L.jpg
Epica Book Sixteen: Europe's Best Advertising (Epica: Europe's Best Advertising),AVA Publishing,"October 28, 2003","Advertising, Advertising industry, Graphic design, Yearbooks, annuals, almanacs, Europe, Awards, Art & Art Instruction, Art, Commercial - Advertising, Art / Commercial / Advertising, BG-COOKBKS - BG - COOKBOOKS, Advertising campaigns, Commercial art",eng,https://covers.openlibrary.org/b/id/2186363-L.jpg
The Malcolm Baldrige National Quality Award,Maureen S. Heaphy,1995,"Malcolm Baldrige National Quality Award., Total quality management -- Awards -- United States.",eng,https://covers.openlibrary.org/b/id/1142361-L.jpg
The Nobel Peace Prize Lecture,Jimmy Carter,"December 23, 2002","World politics, Political Science, Politics / Current Events, Politics/International Relations, Peace, Political Science / Peace, International Relations - General, Human rights",eng,https://covers.openlibrary.org/b/id/473766-L.jpg
Sustainable design,Marie-Hélène Contal,2016,"Sustainable architecture, Awards, Architecture, Environmental aspects, Architecture durable, Prix et récompenses, Aspect de l'environnement, Urbanisme durable, Aspect environnemental","fre, eng",https://covers.openlibrary.org/b/id/12834649-L.jpg
If--then,Fernando Romero,2005,"Young Architects Forum, Architecture -- Awards -- United States, Architecture -- United States -- 21st century, Young architects -- United States",eng,https://covers.openlibrary.org/b/id/8736379-L.jpg
XII Premio Obras Cemex,"Premio Obras CEMEX (11th 2003 Monterrey, Mexico), Cemex Corp, Ariel Noriega Garcia","June 1, 2005","Architecture, Photography, Architectural & Industrial, Photography / Architectural & Industrial, General","eng, spa",https://covers.openlibrary.org/b/id/2295539-L.jpg
Zhonghua Minguo bao yang ling ji.,Guo shi guan (China : Republic : 1949- ),1991,"Rewards (Prizes, etc.) -- China, Rewards (Prizes, etc.) -- Taiwan, China -- History -- Republic, 1912-1949 -- Biography, China -- Biography, Taiwan -- History -- 1945-  -- Biography, Taiwan -- Biography",chi,https://covers.openlibrary.org/b/id/5377098-L.jpg
Tatort Stadt II,Gregor Langenbrinck,2005-08-15,City planning -- Germany.,"ger, eng",https://covers.openlibrary.org/b/id/8248061-L.jpg
Commitment to Place,"Jay Farbstein, Richard Wener, Emily Axelrod","October 10, 2000","Public Policy - City Planning & Urban Dev., Politics / Current Events",eng,https://covers.openlibrary.org/b/id/5181817-L.jpg
"Best Newspaper Writing, 2007-2008 Edition (Best Newspaper Writing) (Best Newspaper Writing)",Aly Colón,"October 18, 2007","Language Arts & Disciplines, Language Arts / Linguistics / Literacy, Literature - Classics / Criticism, Language, American - General, Essays, Nonfiction, Social Science, Journalism",eng,https://covers.openlibrary.org/b/id/2672611-L.jpg
"The One Show, Vol. 26",The One Show,"December 15, 2004","Advertising, Advertising industry, Reference works, Graphic Arts - General, Art & Art Instruction, Art, Art / General, Commercial - Advertising",eng,https://covers.openlibrary.org/b/id/1673358-L.jpg
Instructions aux juges dans les concours des fermes les mieux tenues,Conseil de l'agriculture de la Province de Québec.,1881,"Agriculture -- Prix et récompenses., Récompenses et distinctions honorifiques -- Québec (Province)., Agriculture -- Awards., Rewards (Prizes, etc.) -- Quebec (Province).",fre,https://covers.openlibrary.org/b/id/7060638-L.jpg
Prizewinning literature,Anne Strachan,1989,"English literature -- 20th century -- Bibliography., Best books -- Great Britain., Literary prizes -- Great Britain., English literature -- Awards.",eng,https://covers.openlibrary.org/b/id/4041728-L.jpg
Trial by jury.,"AIA Chicago, Chicago Aia",1992,Architecture -- Illinois -- Chicago -- Awards,eng,https://covers.openlibrary.org/b/id/12743220-L.jpg
Sporting glory,"Victoria and Albert Museum, London",1992,"Victoria and Albert Museum -- Catalogs., Awards -- England -- London -- Exhibitions., Sports -- Great Britain -- Awards -- Exhibitions.",eng,https://covers.openlibrary.org/b/id/11100458-L.jpg
Namen in sprachlichen Kontaktgebieten,"Friedhelm Debus, Inge Bily",2004,"OUR Brockhaus selection, German Language",ger,https://covers.openlibrary.org/b/id/5498595-L.jpg
Peace Women,"Angelika U. Reutter, Anne Ruffer",November 2004,"Peace studies, Women's studies, Non-Classifiable, Nonfiction",eng,https://covers.openlibrary.org/b/id/1038232-L.jpg
"Scholarships, Grants & Prizes 2009","Peterson's, Peterson's (Firm : 2006- )","July 15, 2008","Student Finance, Study Aids, Reference, Test Prep, Study Aids / Financial Aid, Directories, Financial Aid",eng,https://covers.openlibrary.org/b/id/7063740-L.jpg
The words of peace,Irwin Abrams,2000,"Peace., Peace -- Awards., Nobel Prizes.",eng,https://covers.openlibrary.org/b/id/1875894-L.jpg
58. Mostra internazionale d'arte cinematografica.,"Mostra internazionale d'arte cinematografica (58th 2001 Venice, Italy)",2001,"Motion pictures -- Competitions -- Italy -- Venice -- Catalogs., Motion pictures -- Italy -- Venice -- Awards -- Catalogs.",ita,https://covers.openlibrary.org/b/id/5450048-L.jpg
Naturforscher und Gestalter der Technik,Dieter Kind,1989,"Technology -- History., Engineering -- Awards -- Germany., Science -- Awards -- Germany.",ger,https://covers.openlibrary.org/b/id/8386013-L.jpg
Politics of Excellence,Robert Marc Friedman,October 2001,"History of science, Science/Mathematics, Nobel Prizes, Science, Chemistry, History, Awards, Physics",eng,https://covers.openlibrary.org/b/id/455698-L.jpg
Ethnic book awards,Sherry York,2005,"Children's literature, American -- Bibliography., Young adult literature, American -- Bibliography., Multiculturalism in literature -- Bibliography., Ethnic groups in literature -- Bibliography., Children's literature, American -- Awards., Young adult literature, American -- Awards.",eng,https://covers.openlibrary.org/b/id/1955897-L.jpg
"Awards, Honors & Prizes: United States & Canada (Awards, Honors & Prizes: Volume 1: U. S. & Canada)",Paul Wasserman,August 1982,"Directories, Reference",eng,https://covers.openlibrary.org/b/id/5118385-L.jpg
The most glittering prize,Harry P. Heseltine,2001,"Miles Franklin Literary Award., Australian literature -- 20th century -- Awards.",eng,https://covers.openlibrary.org/b/id/460052-L.jpg
In the realms of gold,Keith Barker,1986,"Carnegie Medal -- History., Children's literature, English -- Awards -- History., Children -- Books and reading -- Great Britain., Literary prizes -- Great Britain -- History.",eng,https://covers.openlibrary.org/b/id/13239449-L.jpg
The emblems of the Altdorf Academy,Frederick John Stopp,1974,"Universität Altdorf -- Medals., Universität Altdorf -- Awards., Universität Altdorf -- Curricula -- History., College orations -- History and criticism.",eng,https://covers.openlibrary.org/b/id/14358458-L.jpg
"The Pulitzer Prizes, 1987 (Pulitzer Prizes)",Kendall J. Wills,January 1988,"Non-Classifiable, American Journalism, Literature - Classics / Criticism, Sociology",eng,https://covers.openlibrary.org/b/id/8284751-L.jpg
World Press Photo 2008 (World Press Photo),World Press Photo Foundation,"June 25, 2008","Photographic reportage, Photography, Photo Techniques, Photojournalism, Photography / Photojournalism",eng,https://covers.openlibrary.org/b/id/13319224-L.jpg
Bp Portrait Award 2003,A. S. Byatt,November 2003,"Exhibition catalogues and specific collections, Painting & paintings, Portraits in art, Art & Art Instruction, Art, London, Greater London, Collections, Catalogs, Exhibitions - Museum, Subjects & Themes - Portraits, Individual Artist",eng,https://covers.openlibrary.org/b/id/3005228-L.jpg
Architecture for Islamic Societies Today,James Steele,April 1994,"Art funding, patronage & sponsorship, Development studies, Islamic studies, Developing countries, International Architecture - Middle Eastern, Islamic Architecture, Architecture",eng,https://covers.openlibrary.org/b/id/8619104-L.jpg
Congressional recognition for acts of exceptional valor by public safety officers,United States. Congress. House. Committee on the Judiciary. Subcommittee on Crime.,1999,Police -- Awards -- United States.,eng,https://covers.openlibrary.org/b/id/4599027-L.jpg
1995 Best Newspaper Writing: Winners ,Christopher Scanlan,December 1995,"Reference, Journalistic Writing, Language Arts & Disciplines, Language, American, Composition & Creative Writing - Newspapers/Magazines, Press & journalism, Writing & editing guides, Journalism",eng,https://covers.openlibrary.org/b/id/10373130-L.jpg
3-Dimensional Illustrators Awards Annual II,Nick Greco,March 1992,"Illustration & commercial art, Commercial Art, Art, Architecture, General, Commercial - Advertising, Reference",eng,https://covers.openlibrary.org/b/id/12152044-L.jpg
Great Men and Women of Asia ,Lorna Kalaw-Tirol,2005,History - Asia,eng,https://covers.openlibrary.org/b/id/10637077-L.jpg
3-Dimensional Illustration Awards Annual IV,Rockport Publishing,February 1994,"Graphic design, Illustration & commercial art, Yearbooks, annuals, almanacs, Commercial - Annuals, General, Commercial Art, Architecture, Art",eng,https://covers.openlibrary.org/b/id/12984463-L.jpg
Clio Awards,The Clio Awards,"April 2, 2002","Commercial - Annuals, Art, Art & Art Instruction, Graphic Arts - General, Commercial - Advertising, Advertising industry, Art / General, Graphic design",eng,https://covers.openlibrary.org/b/id/1899784-L.jpg
Best Newspaper Writing 2003 (Best Newspaper Writing),Keith Woods,"August 25, 2003","Press & journalism, Language Arts & Disciplines, Language Arts / Linguistics / Literacy, Language, USA, American - General, Journalism, Media Studies - Print Media, Literary Criticism & Collections / General",eng,https://covers.openlibrary.org/b/id/806203-L.jpg
Awards and Rewards for Grades 4-6,Carrie J. Boyko,April 1999,"Teaching Methods & Materials - General, Education / Teaching",eng,https://covers.openlibrary.org/b/id/10595633-L.jpg
Awards and Rewards for K-3,Carrie J. Boyko,April 1999,"Teaching Methods & Materials - General, Education / Teaching",eng,https://covers.openlibrary.org/b/id/9813633-L.jpg
Designers' Handbook of Booklets & Brochures,Pamela Ivinski,May 1997,"Graphic Design, Techniques - Drawing, Antiques / Collectibles, Art, General, Graphic Arts, Reference",eng,https://covers.openlibrary.org/b/id/930528-L.jpg
On Becoming Exceptional,Mary Jean Ryan,"April 30, 2007","Business & Economics, Medical / Nursing, Business/Economics, Health Care Delivery, Business & Investing / Management, Management - General, Quality Control, Total Quality Management, Awards, Awards and Prizes, Catholic health facilities, History, Hospitals, Missouri, Saint Louis",eng,https://covers.openlibrary.org/b/id/2673215-L.jpg
For the Honor of the School,Ralph Henry Barbour,1900,School sports -- Juvenile fiction,eng,https://covers.openlibrary.org/b/id/6682336-L.jpg
La paix pour destin,Daniel Morgaine,1994,"Nobel Prizes., Peace -- Awards -- Biography., World politics -- 20th century.",fre,https://covers.openlibrary.org/b/id/2144439-L.jpg
Winning With Promotion Power,Promotion Marketing Association of America,March 1994,"Sales & marketing, Marketing - General, Business/Economics, Careers / Job Opportunities, Sales Promotion, Advertising & Promotion, Awards, Advertising, Marketing, United States",eng,https://covers.openlibrary.org/b/id/1600122-L.jpg
A Century Of Heroes,Douglas R. Chambers,"October 17, 2004","American history: from c 1900 -, True stories of endurance & survival, United States - General, History - U.S., History, History: American, USA, Disaster Relief & Rescue Operations, United States - 20th Century, History / United States / 20th Century, Disasters & Disaster Relief",eng,https://covers.openlibrary.org/b/id/1560542-L.jpg
Best Songs of the Movies,John Funnell,July 2005,"Films, cinema, Vocal music, Performing Arts/Dance, History and criticism, Performing Arts, United States, Cinema/Film: Book, Songs and music, Reference, General, Songbooks - Popular, Academy Awards (Motion pictures), Motion picture music",eng,https://covers.openlibrary.org/b/id/1476391-L.jpg
European Union Prize for Contemporary Architecture,Rafael Moneo,"February 15, 2002","Architectural structure & design, 21st century, Architecture, EU (European Union), General, Art  / Architecture, Architecture / General",eng,https://covers.openlibrary.org/b/id/1048561-L.jpg
Leading your Healthcare Organization to Excellence,Patrice L. Spath,"October 1, 2004","Health Care Delivery, Hospital Administration, Medical / Hospital Administration & Care, Administration, Medical, Medical / Nursing, Awards, Malcolm Baldrige National Quality Award, Medical care, Quality control, Total quality management, United States",eng,https://covers.openlibrary.org/b/id/5178596-L.jpg
Childrens Books Awards and Prizes,Childrens Book Council,December 2005,"Reference, General",eng,https://covers.openlibrary.org/b/id/11769553-L.jpg
Wood Design Awards 2002,Don Griffith,November 2002,"Design - General, General, Design & Drafting, Domestic, Architecture",eng,https://covers.openlibrary.org/b/id/2687590-L.jpg
Teacher of the year,Rick Watson,2002,"Teacher -- Juvenile fiction., Teaching -- Awards -- Juvenile fiction.",eng,https://covers.openlibrary.org/b/id/13191586-L.jpg
"Awards, Honors & Prizes: United States and Canada (Awards, Honors, and Prizes Vol 1: United States and Canada)",Tara Atterberry,"June 2, 2006","Reference, Encyclopedias, Directories",eng,https://covers.openlibrary.org/b/id/4737824-L.jpg
The Pura Belpre Awards,Rose Zertuche Trevino,"June 30, 2006","Literary reference works, Novels, other prose & writers: from c 1900 -, Library & Information Science, General, Bio-bibliography, Language Arts & Disciplines, Spanish, Language, Latin America, Handbooks & Manuals, BelprÃ¢e Medal, Teaching Methods & Materials - Library Skills, American literature, Awards, Belprâe Medal, Children's literature, American, Hispanic American authors",eng,https://covers.openlibrary.org/b/id/637809-L.jpg
Dynamite Women,Eve Malo,"May 30, 2006","Biography/Autobiography, General, Women, Biography & Autobiography, Biography / Autobiography",eng,https://covers.openlibrary.org/b/id/1273242-L.jpg
Architecture 05: The Guide to the Riba Awards (Architecture: The Guide to the Riba Awards),Tony Chapman,"February 9, 2006","Architecture, Architecture (General), Awards, Prizes (General), British Isles, Reference, 21st century, Awards, Europe, Great Britain",eng,https://covers.openlibrary.org/b/id/2059172-L.jpg
Architecture 06: The Guide to the Riba Awards (Architecture: The Guide to the Riba Awards),Tony Chapman,"April 30, 2007","Architecture (General), Architecture, British Isles, International Architecture - British, Reference, General",eng,https://covers.openlibrary.org/b/id/2059189-L.jpg
Architecture 07: The Guide to the Riba Awards (Architecture: The Guide to the Riba Awards),Tony Chapman,"December 30, 2007","General, Reference, Architecture",eng,https://covers.openlibrary.org/b/id/3011132-L.jpg
"Magill's Cinema Annual, 1982 (Magill's Cinema Annual)",Frank N. Magill,January 1983,"Films, cinema, Film & Video - Reference, Motion Pictures (General), Pop Arts / Pop Culture, Reference",eng,https://covers.openlibrary.org/b/id/9773970-L.jpg
The reward system in British and American science,Jerry Gaston,1978,"Research -- Social aspects -- United States., Research -- Social aspects -- Great Britain., Awards -- United States., Awards -- Great Britain.",eng,https://covers.openlibrary.org/b/id/9748621-L.jpg
Primary Awards Galore (Teacher Time-Savers Ser.),Armstrong B.,June 1985,"Activities, Family / Parenting / Childbirth, Children: Grades 1-2",eng,https://covers.openlibrary.org/b/id/12644592-L.jpg
Spirit of Enterprise,David William Reed,July 1987,"General, Awards, Prizes (General), Business / Economics / Finance, Awards, Inventions, Science, Business/Economics",eng,https://covers.openlibrary.org/b/id/8041947-L.jpg
Frontiers of Economics,Abu N.M. Wahid,"April 30, 2002","Economic theory & philosophy, Reference works, Business & Economics, Business / Economics / Finance, Business/Economics, Economics - Theory, Business & Economics / Economics / Theory, Economics - General, 20th century, Awards, Economics, Economists, History, Nobel Prizes",eng,https://covers.openlibrary.org/b/id/2377065-L.jpg
Restructuring the City,Vilma Hastaoglou-Martinidis,January 1999,"City & town planning - architectural aspects, Public, Commercial, or Industrial Buildings, Architecture, Design & Drafting, Planning",eng,https://covers.openlibrary.org/b/id/947078-L.jpg
60 Years of the Outland Trophy,Gene Duffey,"October 1, 2006","Football - General, Sports & Recreation",eng,https://covers.openlibrary.org/b/id/2128696-L.jpg
Mies Van Der Rohe Award 2007,Diane Gray,"November 30, 2007","Architectural structure & design, Architecture, EU (European Union), Criticism, Individual Architect, Professional Practice, Art  / Architecture",eng,https://covers.openlibrary.org/b/id/3334819-L.jpg
Insights to Performance Excellence 2004,Mark L. Blazey,April 2004,"General, Reference - General, Total Quality Management, Business & Economics, Business/Economics",eng,https://covers.openlibrary.org/b/id/2673179-L.jpg
Insights to Performance Excellence 2006,Mark L. Blazey,"April 19, 2006","Quality Control, Business & Economics, Business/Economics, Management - General, Total Quality Management",eng,https://covers.openlibrary.org/b/id/1624126-L.jpg
Insights to Excellence 1996,Mark L. Blazey,June 1996,"Management & management techniques, Production & quality control management, Yearbooks, annuals, almanacs, c 1990 to c 2000, Quality (Management), Total Quality Management (Engineering), Business / Economics / Finance, Science/Mathematics, Quality Control, Awards, Benchmarking (Management), Malcolm Baldrige National Quality Award, Total quality management, United States",eng,https://covers.openlibrary.org/b/id/12645609-L.jpg
Idn Decade Design Awards,Systems Design Limited,July 2003,"Design styles: from c 1900 -, Industrial / Commercial Art & Design, c 1990 to c 2000, Graphic Arts - General, Architecture, Art, Design & Drafting",eng,https://covers.openlibrary.org/b/id/1053360-L.jpg
Dotmov Festival 2004,IdN PRo,"July 31, 2005","Films, cinema, Performing Arts, Pop Arts / Pop Culture, Cinema/Film: Book, Film & Video - General, Film & Video - Reference, Awards, Commercial art, Computer graphics, Graphic arts","eng, jpn",https://covers.openlibrary.org/b/id/1056043-L.jpg
The webmaster's guide to glory,Mic Miller,2001,"Awards, Design, Web sites",eng,https://covers.openlibrary.org/b/id/10642271-L.jpg
Architecture in Perspective 10,American Society of Architecture,April 1996,"Methods & Materials, Reference, Exhibition Catalogs, Architecture",eng,https://covers.openlibrary.org/b/id/5177686-L.jpg
Safety Incentives,Wayne G. Pardy,"May 19, 1999","Management, Occupational Safety and Health, Safety, Handbooks & Manuals, Reference, Awards, Industrial safety, Psychological aspects",eng,https://covers.openlibrary.org/b/id/3032356-L.jpg
Footprints,Belle Oliver Hart-Corell,1983,"Chennault, Claire Lee, 1893-1958., Chennault Award for Excellence in the Basic Sciences., United States. Air Force -- Biography., United States Air Force Academy -- Alumni and alumnae -- Biography., United Daughters of the Confederacy., United States Air Force Academy -- Awards., Generals -- United States -- Biography.",eng,https://covers.openlibrary.org/b/id/13230877-L.jpg
Point of Purchase Design Annual Number 8,Point of Purchase Advertising Institute (POPAI),September 2001,"Advertising, Commercial Art, Art & Art Instruction, Art, Commercial - Advertising, Commercial - Annuals, Design - General",eng,https://covers.openlibrary.org/b/id/848710-L.jpg
Turner Prize (Tate Gallery London),Virginia Button,"April 1, 2000","Art funding, patronage & sponsorship, History of art & design styles: from c 1900 -, Art, Art & Art Instruction, England, General, Art / General",eng,https://covers.openlibrary.org/b/id/12362766-L.jpg
"Congressional Gold Medals, 1776-2002",Stephen W. Stathis,April 2003,"Honours & decorations, POLITICS & GOVERNMENT, Reference works, Reference, Genealogy, USA, United States, Congressional Award, Questions & Answers, Awards, Congress, History, United States.",eng,https://covers.openlibrary.org/b/id/1969630-L.jpg
The Calumet Collection,Judy Marchman,"June 25, 2002","Sports, Race horses, Horse Racing, Sports & Recreation, United States, Records, History, Calumet Farm, Sports & Recreation / Horse Racing, Sports & Recreation/History, Awards, Biography, Kentucky, Lexington",eng,https://covers.openlibrary.org/b/id/842401-L.jpg
Art Directors Annual 80 (Art Directors Annual),Art Directors Club,March 2002,"Graphic design, Yearbooks, annuals, almanacs, Graphic Arts - General, Art & Art Instruction, Art, USA, Commercial - Annuals",eng,https://covers.openlibrary.org/b/id/992959-L.jpg
