title,author,published_year,subject,language,cover
A grand champion,John A. Stainbrook (Firm),1917,"Corn, Awards, Catalogs, Seeds, Grain, Nursery stock",eng,https://covers.openlibrary.org/b/id/11839223-L.jpg
Prize winning peonies and other perennials,S.G. Harris (Firm),1918,"Nursery stock, Catalogs, Peonies, Awards, Perennials, Bulbs (Plants)",eng,https://covers.openlibrary.org/b/id/11840000-L.jpg
History of the Loring Prize plum,Red Wing Nursery Co,1918,"Plum, Awards, Fruit trees, Catalogs, Nursery stock, Nurseries (Horticulture)",eng,https://covers.openlibrary.org/b/id/11840021-L.jpg
"La distribuzione dei premj solennizzata sul Campidoglio li 4. Luglio 1805, dall'insigne Accademia delle belle arti pittura, scultura, ed architettura in S. Lucia",Andrea Vici,1806,"Art, Competitions, Awards, Poetry, Architecture, Sculpture, Drawing, Accademia di San Luca",ita,https://covers.openlibrary.org/b/id/11889253-L.jpg
National honor awards for facility excellence,United States Postal Service,1990,"Buildings, Post office buildings, Design and construction, Awards, United States Postal Service",eng,https://covers.openlibrary.org/b/id/11902214-L.jpg
NEA opera honors,National Endowment for the Arts,2008,"Opera, Awards",eng,https://covers.openlibrary.org/b/id/11902585-L.jpg
Presidential design awards 1988,Nicholas Backlund,1990,"Design, Awards, Architectural design, Public buildings, City planning, Landscape architecture, Industrial design, Engineering, Graphic arts, Interior decoration",eng,https://covers.openlibrary.org/b/id/11911743-L.jpg
Presidential design awards 1992,National Endowment for the Arts. Design Arts Program,1991,"Design, Awards, Architectural design, Public buildings, City planning, Landscape architecture, Industrial design, Engineering, Graphic arts, Interior decoration",eng,https://covers.openlibrary.org/b/id/11911749-L.jpg
CyberArts 2006 (Ars Electronica),Hatje Cantz Publishers,"November 15, 2006","Electronic & video art, Multi-Media Art, Art, Art & Art Instruction, Collections, Catalogs, Exhibitions - General, Art / Collections, Catalogs, Exhibitions, Assemblage Art","eng, mul, ger",https://covers.openlibrary.org/b/id/2238385-L.jpg
D&AD' 15,Designers and Art Directors Association of the United Kingdom,2015,"Commercial art, Awards",eng,https://covers.openlibrary.org/b/id/11405132-L.jpg
Cyberarts 2000,"Hannes Leopoldseder, Christine Schöpf","September 27, 2000","History of art & design styles: from c 1900 -, Computers - General Information, Computer Graphics, Digital Image Processing, Computers, Computer Books: General, General, Data Transmission Systems - General, Computer Science, Art, Computer, Computeranimation, Cyber, Informatik, Kunst, Media, Media Theory, Medienkunst, Medientheorie, Computer Graphics - General","eng, ger",https://covers.openlibrary.org/b/id/998166-L.jpg
32nd Publication Design Annual,"Publication Designers, The Society of Publication Designers",October 1997,"Reference, Graphic Design, Art & Art Instruction, Art, ART030000, ART025000, Graphic Arts, Design - General",eng,https://covers.openlibrary.org/b/id/801838-L.jpg
Designs of the year 2012,Emily Pacey,2012,"Design, Awards, Art and Design",eng,https://covers.openlibrary.org/b/id/11617936-L.jpg
"Dahlia aristocrats from the Autocrat Dahlia Gardens, 1928","John Harding (Firm : Norwalk, Conn.)",1928,"Nursery stock, Catalogs, Dahlias, Seedlings, Bulbs (Plants), Nurseries (Horticulture), Awards",eng,https://covers.openlibrary.org/b/id/11842958-L.jpg
Design awards,United States. General Services Administration,1999,"Awards, Architectural design, Public buildings, Design, United States. General Services Administration, United States",eng,https://covers.openlibrary.org/b/id/11859025-L.jpg
Design for transportation national awards 2000,United States. Department of Transportation,2000,"Engineering design, Awards, Architectural design, Transportation buildings",eng,https://covers.openlibrary.org/b/id/11859047-L.jpg
"BLM reclamation and sustainable mineral development awards program, 2007",United States. Bureau of Land Management,2007,"Mineral industries, Sustainable development, Mines and mineral resources, Reclamation of land, Awards, Environmental aspects, United States. Department of the Interior, United States",eng,https://covers.openlibrary.org/b/id/11820625-L.jpg
Le pot de nouilles,Larry Dane Brimner,2004,"Loyauté, Romans, nouvelles, etc. pour la jeunesse, Loyalty, Juvenile fiction, Contests, Friendship, Awards, Concours et compétitions, Prix et récompenses, Amitié, Fiction",fre,https://covers.openlibrary.org/b/id/11668682-L.jpg
"Dr. Robert Buermann informal, decorative, entered at Storr's, Connecticut by Reynolds Dahlia Farm, 1943 scored (83.6) E ...",N.J.) Reynolds Dahlia Farm (Lakewood,1944,"Nursery stock, Prices, Dahlias, Awards",eng,https://covers.openlibrary.org/b/id/11832776-L.jpg
Families 1000,Massachusetts. Dept. of Mental Retardation,1995,"Awards, People with mental disabilities, Massachusetts. Dept. of Mental Retardation, Massachusetts",eng,https://covers.openlibrary.org/b/id/11870118-L.jpg
In recognition of the Presidential Design Award winners,National Endowment for the Arts,1997,"Industrial design, Awards",eng,https://covers.openlibrary.org/b/id/11885524-L.jpg
"""A"" award to Logan County, Illinois",John Bicket,1943,"World War, 1939-1945, Food supply, Awards, Radio addresses, debates",eng,https://covers.openlibrary.org/b/id/11841984-L.jpg
"Continuacion de las actas de la Escuela Gratuita de las Nobles Artes, erigida con real aprobacion en la Casa Lonja de Barcelona, a expensas y baxo la direccion de la real junta de gobierno de comercio del principado de Cataluña",Josef Farriols,1803,"Art, Study and teaching, Awards, Escuela Gratuita de Diseño",spa,https://covers.openlibrary.org/b/id/11854374-L.jpg
A.WAY,"Jürgen Mayer H., Paul Angelier",2010,"Stadtentwicklung, Mobilität, Stadtverkehr, Utopische Architektur, Neue Medien",eng,https://covers.openlibrary.org/b/id/11592414-L.jpg
"A bill to amend the Head Start Act to provide services for younger children and their parents, the Comprehensive Child Development Act to extend the authorization of appropriations and the National and Community Service Act of 1990 to provide educational awards for early childhood development teachers, and for other purposes",United States. Congress. Senate,1993,"Law and legislation, Federal aid to early childhood education, Early childhood educators, Awards, Student aid, Head Start Program (U.S.)",eng,https://covers.openlibrary.org/b/id/11819167-L.jpg
Seventh annual 100 unsung heroines of Massachusetts,Massachusetts Commission on the Status of Women,2010,"Women heroes, Awards",eng,https://covers.openlibrary.org/b/id/11922056-L.jpg
Honorary degrees conferred in connection with the celebration of the five-hundredth anniversary of the foundation of the University,St. Andrews University,1911,"Universities and Colleges, Higher Education, Awards",eng,https://covers.openlibrary.org/b/id/11788214-L.jpg
Demokratie ist keine Glücksversicherung,"Beatrice von Weizsäcker, Hildegard Hamm-Brücher",2005,"Democracy, Awards, Theodor-Heuss-Preis, History, Interviews, Politics and government, Theodor Heuss Stiftung",ger,https://covers.openlibrary.org/b/id/10747423-L.jpg
Architecture Canada 2010,Royal Architectural Institute of Canada,2010,"Modern Architecture, Awards, Architecture",eng,https://covers.openlibrary.org/b/id/10992635-L.jpg
IF communication design award yearbook 2009,iF International Forum Design GmbH,2009,"Communication, Catalogs, Awards, Industrial design",eng,https://covers.openlibrary.org/b/id/10764930-L.jpg
Best highrises 2014/15,"Peter Körner, Peter Cachola Schmal, Corinne Elsesser, Josephine Cordero Sapien, Jeremy Gaines, Mary Dobrian, Ulrike Bischoff",2014,"Awards, Skyscrapers",ger,https://covers.openlibrary.org/b/id/13867876-L.jpg
Di er jie CAFAM wei lai zhan,"Xu, Bing, Huangsheng Wang, Chunchen Wang",2015,"Art, Awards, Exhibitions, Modern Art, Chinese Art",chi,https://covers.openlibrary.org/b/id/13192383-L.jpg
Schweigen Schreiben Reden Schweigen,Adolf Endler,2003,"Endler, Adolf -- Awards., Literary prizes -- Germany., German literature -- 20th century -- History and criticism.",ger,https://covers.openlibrary.org/b/id/13336052-L.jpg
Premio Nacional de Ciencia y Tecnología Clodomiro Picado Twight,C. Picado T.,1997,"Premio Nacional de Ciencia y Tecnología Clodomiro Picado Twight., Science -- Awards -- Costa Rica., Technology -- Awards -- Costa Rica., Scientists -- Costa Rica -- Biography.",spa,https://covers.openlibrary.org/b/id/4934058-L.jpg
Alay sa kalinaw,Asuncion David Maramba,1995,"Peace -- Awards -- Philippines., Philippines -- Biography.",eng,https://covers.openlibrary.org/b/id/3776710-L.jpg
Les Américains et la Légion d'honneur,Musée de la coopération franco-américaine,1993,"Légion d'honneur (France) -- Exhibitions., American Society of the French Legion of Honor -- Exhibitions., United States -- Relations -- France -- Exhibitions., France -- Relations -- United States -- Exhibitions.",fre,https://covers.openlibrary.org/b/id/4861631-L.jpg
2008 Onur Ödülü altın madalyası sahibi Cumhurbaşkanlığı Senfoni Orkestrası'na armağan,Erdoğan Okyay,2009,"History, Symphony orchestras, Biography, Management, Law and legislation, Awards, Music, History and criticism, Cumhurbaşkanlığı Senfoni Orkestrası",tur,https://covers.openlibrary.org/b/id/13843545-L.jpg
Barbara,Christian Petzold,2012,"Women physicians, Drama, Emigration and immigration, Social conditions, German Motion picture plays, Motion pictures, Awards, Barbara (Motion picture)",ger,https://covers.openlibrary.org/b/id/14403290-L.jpg
"The Coretta Scott King Awards, 1970-2014",Carole J. McCollough,2015,"Coretta Scott King Award, American literature, Bibliography, African American authors, Awards, Children's literature, American, African Americans in literature, Children, Books and reading",eng,https://covers.openlibrary.org/b/id/12720932-L.jpg
Variety International Film Guide 1996 (Variety International Film Guide),Peter Cowie,October 1995,"Film - Guides & Reviews, Films, cinema, Yearbooks, annuals, almanacs, c 1990 to c 2000, Motion Pictures (General), Pop Arts / Pop Culture, Architecture",eng,https://covers.openlibrary.org/b/id/5042353-L.jpg
"Grants and Awards Available to American Writers (Grants and Awards Available to American Writers, 21st ed)",John Morrone,August 2000,"Reference, Language, Grants In Specific Fields, United States, Rewards (Prizes, etc.), Literary Prizes, General, Directories",eng,https://covers.openlibrary.org/b/id/713206-L.jpg
Winning low energy building designs,Canada. Dept. of Public Works,1980,"Buildings -- Energy conservation., Architecture and energy conservation -- Awards.",eng,https://covers.openlibrary.org/b/id/8115816-L.jpg
Prix offerts par la Société d'agriculture de Québec,Société d'agriculture de Québec.,1986,"Société d'agriculture de Québec., Agricultural exhibitions -- Québec (Province) -- Awards.",fre,https://covers.openlibrary.org/b/id/7095641-L.jpg
"New Brunswick Society for the Encouragement of Agriculture, Home Manufactures, and Commerce Throughout the Province","New Brunswick Society for the Encouragement of Agriculture, Home Manufactures, and Commerce throughout the Province",1987,"New Brunswick Provincial Exhibition (1852 : Fredericton, N.B.) -- Awards., Exhibitions -- New Brunswick -- Fredericton -- Awards.",eng,https://covers.openlibrary.org/b/id/7162388-L.jpg
Estudio de condecoraciones recibidas por Dulce María Loynaz,Madelyn Díaz Monterrey,2005,"Loynaz, Dulce María, -- 1902-1997 -- Awards.",spa,https://covers.openlibrary.org/b/id/5341798-L.jpg
The AIA gold medal,Richard Guy Wilson,1984,Architecture -- United States -- History -- 20th century.,eng,https://covers.openlibrary.org/b/id/4947045-L.jpg
54. Mostra internazionale d'arte cinematografica.,"Mostra internazionale d'arte cinematografica (54th 1997 Venice, Italy)",1997,"Film festivals -- Italy -- Venice -- Catalogs., Motion pictures -- Exhibitions., Motion pictures -- Plots, themes, etc.","ita, eng",https://covers.openlibrary.org/b/id/14862681-L.jpg
"Great Men and Women of Asia Volume 3, Ramon Magsaysay Awardees from South Asia, 1987-2005",Lorna Kalaw-Tirol,"August 30, 2006",Biographies & Memoirs,eng,https://covers.openlibrary.org/b/id/3356254-L.jpg
"Great Men and Women of Asia Volume 4, Ramon Magsaysay Awardees from Northeast Asia, 1958-1982",Angelina G. Goloy,"August 30, 2006",Biographies & Memoirs / Biographies,eng,https://covers.openlibrary.org/b/id/3356256-L.jpg
"Great Men and Women of Asia Volume 5, Ramon Magsaysay Awardees from Northeast Asia, 1983-2005",Angelina G. Goloy,"August 30, 2006",Biographies & Memoirs / Biographies,eng,https://covers.openlibrary.org/b/id/3356255-L.jpg
Photography Awards 2004,Association of Photographers.,2004,Photography -- Awards -- Great Britain.,eng,https://covers.openlibrary.org/b/id/15037529-L.jpg
The award movies,Roy Pickard,1980,Moving-pictures -- Awards.,eng,https://covers.openlibrary.org/b/id/4371643-L.jpg
Onursal doktor olamamanın büyük onuru,Aziz Nesin,1993,"Nesin, Aziz -- Political and social views., Nesin, Aziz -- Interviews., Technische Hochschule Darmstadt -- Awards.",tur,https://covers.openlibrary.org/b/id/3909547-L.jpg
Renzo Piano,Wood in Culture Association,December 2002,"Architectural structure & design, Individual architects",eng,https://covers.openlibrary.org/b/id/3349855-L.jpg
National honours and their noblest claimants.,Robert Bigsby,1867,"Awards., Literary prizes.",eng,https://covers.openlibrary.org/b/id/5960299-L.jpg
Exposition agricole et industrielle de la province de Québec,"Exposition agricole et industrielle de la province de Québec (1877 Québec, Québec)",1993,Agricultural exhibitions -- Québec (Province) -- Awards.,fre,https://covers.openlibrary.org/b/id/6955115-L.jpg
H.R. 3591--to honor Ronald and Nancy Reagan with the Congressional Gold Medal,United States. Congress. House. Committee on Banking and Financial Services. Subcommittee on Domestic and International Monetary Policy,2000,"Reagan, Ronald -- Awards, Reagan, Nancy, -- 1923- -- Awards, Congressional Award",eng,https://covers.openlibrary.org/b/id/5310320-L.jpg
Booktalking,Joni Richards Bodart,December 1994,"Literature - Classics / Criticism, Awards, Best books, Book talks, Children's literature, Reference",eng,https://covers.openlibrary.org/b/id/12476890-L.jpg
"Design for Aging Review, Vol. 3 '05",Michael J. Crosbie,"July 10, 2006","Architecture, Public, Commercial, or Industrial Buildings, Architecture / General, General",eng,https://covers.openlibrary.org/b/id/2115172-L.jpg
"Peterson's Scholarships, Grants & Prizes 2000",Peterson's,June 1999,"Test Prep, Student aid, Student Finance, Study Aids, Reference, United States, Finance, Funding of education, Higher & further education, Financial Aid, Directories, Scholarships",eng,https://covers.openlibrary.org/b/id/1454965-L.jpg
"Scholarships, Grants & Prizes 1997 (Annual)",Peterson's,"October 20, 1996","Student Finance, Education, Reference, Financial Aid, Study Aids / Financial Aid, Finance, Directories, Scholarships, Student aid, United States",eng,https://covers.openlibrary.org/b/id/5174704-L.jpg
"Scholarships, Grants & Prizes 2002",Peterson's,"July 15, 2001","Higher & further education, Student Finance, Study Aids, Reference, Test Prep, USA, Financial Aid, Study Aids / Financial Aid, Directories, Scholarships, Student aid, United States",eng,https://covers.openlibrary.org/b/id/2620461-L.jpg
"Scholarships, Grants & Prizes 2003",Peterson's,"July 21, 2002","Higher & further education, Study Guides, Student Finance, Study Aids, Reference, Test Prep, USA, Financial Aid, Study Aids / Financial Aid, Scholarships, Directories, Student aid, United States",eng,https://covers.openlibrary.org/b/id/1455120-L.jpg
"Scholarships, Grants & Prizes, 2004",Peterson's,"July 20, 2003","Advice on education, Careers & vocational information & reference, Higher & further education, Study Aids, Student Finance, Reference, Test Prep, USA, Financial Aid, Study Aids / Financial Aid, Directories, Scholarships, Student aid, United States",eng,https://covers.openlibrary.org/b/id/1455240-L.jpg
"Scholarships, Grants, and Prizes 2006",Peterson's,"June 15, 2005","United States, Study Aids, Student Finance, Reference, Test Prep, Financial Aid, Study Aids / Financial Aid, Directories, Scholarships, Student aid",eng,https://covers.openlibrary.org/b/id/1455428-L.jpg
Premio Maretti,Caridad Blanco,2015,"Cuban Art, Exhibitions, Italian Art, Art, Awards",spa,https://covers.openlibrary.org/b/id/14348280-L.jpg
Stefan Moses,Stefan Moses,2015,"Exhibitions, Artistic Photography, Art, Awards",ger,https://covers.openlibrary.org/b/id/13235317-L.jpg
Nachbarschaft,Jeremy Gaines,2015,"Architectural photography, Awards",ger,https://covers.openlibrary.org/b/id/14111568-L.jpg
Häuser des Jahres,Peter Cachola Schmal,2017,"Haus des Jahres (Award), Catalogs, Domestic Architecture, Awards, Single family Housing, Designs and plans, Modern Architecture",ger,https://covers.openlibrary.org/b/id/14181793-L.jpg
The Hugo Boss Prize 2004,"Franz Ackermann, Meghan Dailey",2004,"Hugo Boss Prize, Modern Art, New York Guggenheim Museum",eng,https://covers.openlibrary.org/b/id/13296905-L.jpg
Der deutsche Jugendliteraturpreis,Klaus Doderer,1988,"Young adult literature, German -- Awards., Young adult literature, German -- History and criticism., German literature -- 20th century -- History and criticism., Youth -- Books and reading -- Germany -- History -- 20th century.",ger,https://covers.openlibrary.org/b/id/4078457-L.jpg
Women of the century,"North Carolina Council for Women., North Carolina Council for Women",2000,"North Carolina Council for Women -- Awards., Women -- Awards -- North Carolina., Women -- North Carolina -- Biography., Women legislators -- North Carolina -- Biography., Women in the professions -- North Carolina -- Biography.",eng,https://covers.openlibrary.org/b/id/6905792-L.jpg
Arquia/próxima 2008,Fundación Arquia,2008,"Arquitectura, Proyectos, Dibujos y planos",spa,https://covers.openlibrary.org/b/id/12982486-L.jpg
The best book designs from the Netherlands and Flanders 2015,Irma Boom,2016,"Book design, Awards",eng,https://covers.openlibrary.org/b/id/12982587-L.jpg
The national honours and awards of Australia,Michael Maton,1995,"Heraldry -- Australia., Decorations of honor -- Australia., Emblems, National -- Australia., Awards -- Australia.",eng,https://covers.openlibrary.org/b/id/8544425-L.jpg
The Malcolm Baldrige Quality Award,"United States. Congress. House. Committee on Science, Space, and Technology. Subcommittee on Technology, Environment, and Aviation.",1993,"Malcolm Baldrige National Quality Award., Total quality management -- Awards -- United States.",eng,https://covers.openlibrary.org/b/id/4580772-L.jpg
The Nobel population 1901-1937,Elisabeth T. Crawford,1987,"Nobelstiftelsen -- History., Physics -- Awards -- History., Chemistry -- Awards -- History., Nobel Prizes -- History.",eng,https://covers.openlibrary.org/b/id/4129696-L.jpg
Great Library Promotion Ideas II,"Ann H. Eastman, Evelyn Shaevel",June 1986,"Library, archive & information management, Library Public Relations, John Cotton Dana Library Public Relations Award, Libraries, Libraries and community, Public relations, United States",eng,https://covers.openlibrary.org/b/id/13067869-L.jpg
Por los caminos de Leloir,César Lorenzano,1994,"Leloir, Luis F. -- Awards., Leloir, Luis F., Biochemists -- Argentina -- Biography., Biochemistry -- Research -- Awards., Nobel Prizes., Chemists -- Argentina -- Biography.",spa,https://covers.openlibrary.org/b/id/2291791-L.jpg
Die Kulturpreise der Stiftung F.V.S. 1935-1945,Jan Zimmermann,2000,"Alfred Toepfer Stiftung -- Awards -- History., Arts -- Awards -- German -- History.",ger,https://covers.openlibrary.org/b/id/8405650-L.jpg
Cyberarts 2001,"Hannes Leopoldseder, Christine Schöpf","October 5, 2001","Electronic & video art, Image processing, Data Transmission Systems - General, Computer Graphics, Digital Image Processing, Computers, Art & Art Instruction, Computer Books: General, Popular Culture - General, Computer Graphics - General, Graphic Arts - General, Computer, Computer Science, Computers / Computer Science, Cyber, Informatik, Kunst, Media Art, Media Theory, Medienkunst, Medientheorie","eng, ger",https://covers.openlibrary.org/b/id/2197662-L.jpg
Ten young artists: Theodoron awards.,Solomon R. Guggenheim Museum.,1971,"Art, American -- 20th century -- Exhibitions., Art -- Competitions.",eng,https://covers.openlibrary.org/b/id/7007023-L.jpg
"Hugo Boss Prize, 2006.",Solomon R. Guggenheim Museum.,January 2006,Exhibition catalogues and specific collections,eng,https://covers.openlibrary.org/b/id/3252913-L.jpg
Nine artists,Solomon R. Guggenheim Museum.,1977,"Art, American -- 20th century -- Exhibitions., Art -- Awards -- Exhibitions.",eng,https://covers.openlibrary.org/b/id/7007032-L.jpg
Employees suggestion program,United States. Bureau of Agricultural and Industrial Chemistry,1949,"Officials and employees, Awards, Suggestion systems, United States. Department of Agriculture",eng,https://covers.openlibrary.org/b/id/14432834-L.jpg
The Rise of Asian Design,All Rights Reserved,"February 6, 2006","Graphic design, Art & Art Instruction, Art, Graphic Arts - General, Design - General","eng, chi",https://covers.openlibrary.org/b/id/1056019-L.jpg
Improving management through the REA awards program,United States. Rural Electrification Administration,1952,"Officials and employees, Awards, United States. Department of Agriculture",eng,https://covers.openlibrary.org/b/id/14563605-L.jpg
Suggestion awards program / Henry A. Donovan,Henry A. Donovan,1949,"Suggestion systems, Awards",eng,https://covers.openlibrary.org/b/id/14565927-L.jpg
Sixty years with a camera,Hugh M. Morton,1996,"Morton, Hugh M., Awards -- North Carolina., News photographers -- North Carolina., Photographers -- North Carolina.",eng,https://covers.openlibrary.org/b/id/7233345-L.jpg
"Tony, Grammy, Emmy, Country",Don Franks,1986,Performing arts -- Awards -- United States.,eng,https://covers.openlibrary.org/b/id/4151381-L.jpg
Prime-time hits,Susan Sackett,1993,"Television programs -- United States -- History., Television programs -- United States -- Awards.",eng,https://covers.openlibrary.org/b/id/12892366-L.jpg
The BP Portrait Award 2002,National Portrait Gallery,"May 25, 2008","Exhibition catalogues and specific collections, Painting & paintings, Portraits in art, Subjects & Themes - Human Figure, Art & Art Instruction, Art, London, Greater London, Subjects & Themes - Portraits, Essays, Art / General, Collections, Catalogs, Exhibitions - General",eng,https://covers.openlibrary.org/b/id/905679-L.jpg
Liu Xiaobo dang an,Xin xi zi you guan cha gong zuo shi (Hong Kong),2010,"Political prisoners, Nobel Prize winners, Biography, Peace, Awards, Dissenters",chi,https://covers.openlibrary.org/b/id/13484398-L.jpg
"<30, X",Elio Schenini,2014,"Swiss Art, Exhibitions, Awards, Artists","ita, ger",https://covers.openlibrary.org/b/id/13794454-L.jpg
"Per la solenne distribuzione del premio alle tre arti pittura, scoltura, e architettura nell' Accademia clementina del disegno, celebratasi in Bologna li 10. giugno 1728, nella sala dell' Instituto delle scienze",Celestino Petracchi,1728,"Awards, Art, Early works to 1800, Accademia clementina",ita,https://covers.openlibrary.org/b/id/11908831-L.jpg
I.D.E.A.,Albert D. Cohen,2005,"Awards, Prix et récompenses, Businesspeople, Biography, International Distinguished Entrepreneur Award, Entrepreneurship, Gens d'affaires, Biographies, Entrepreneuriat, University of Manitoba, Université du Manitoba",eng,https://covers.openlibrary.org/b/id/12532876-L.jpg
Winning shopping center designs 1994,International Council of Shopping Centers,1994,"Shopping centers, Design and construction, Awards",eng,https://covers.openlibrary.org/b/id/12765627-L.jpg
Variety Presents,Mike Kaplan,October 1984,"Performing Arts (General), Performing arts, Awards, Rewards (Prizes, etc.), United States, Reference",eng,https://covers.openlibrary.org/b/id/4731715-L.jpg
Variety's directory of major U.S. show business awards,Mike Kaplan,1989,Performing arts -- Awards -- United States.,eng,https://covers.openlibrary.org/b/id/13056277-L.jpg
La obra actual de los ganadores del Encuentro de Arte Jóven,Juan Castañeda,1996,"Encuentro Nacional de Arte Jóven -- Awards -- Exhibitions., Art, Mexican -- 20th century -- Exhibitions.",spa,https://covers.openlibrary.org/b/id/13593332-L.jpg
"The best American newspaper narratives, volume two",George Getschow,2015,"American Reportage literature, Feature stories, Journalism, Awards, Littérature de reportage américaine, Articles de fond, LANGUAGE ARTS & DISCIPLINES",eng,https://covers.openlibrary.org/b/id/12800691-L.jpg
Children's book prizes,"Allen, Ruth",1998,"Children's literature, English -- Awards -- History., Children's literature, American -- Awards -- History., Children's literature, Commonwealth (English) -- Awards -- History., Children -- Books and reading -- English-speaking countries., Children's literature -- Awards -- Evaluation.",eng,https://covers.openlibrary.org/b/id/3789798-L.jpg
La Coupe Stanley décodée,Marc Couture,2015,"Hockey, Juvenile fiction, Awards, Romans, nouvelles, etc. pour la jeunesse, Prix et récompenses, Coupe Stanley",fre,https://covers.openlibrary.org/b/id/12637469-L.jpg
The Jim Thorpe Award,Bob Burke,2008,"Football, Awards, Football players, Biography",eng,https://covers.openlibrary.org/b/id/12650943-L.jpg
"De best verzorgde boeken, 2007",Kees van den Hoek,2008,"Book design, Catalogs, Awards",eng,https://covers.openlibrary.org/b/id/12784508-L.jpg
Gold Medal for Italian Architecture,Fulvio Irace,"July 15, 2006","Architecture, Italy","eng, ita",https://covers.openlibrary.org/b/id/2274697-L.jpg
Stolpersteine,Jürgen-Wolfgang Goette,2009,"Erich-Mühsam-Preis, Holocaust memorials, Memorials, Jews, Biography, Awards, Erich-Mühsam-Gesellschaft",ger,https://covers.openlibrary.org/b/id/12828575-L.jpg
The Jerwood Drawing Prize,Wimbledon School of Art,2005,"British Drawing, Exhibitions, Drawing, Awards, Dessin britannique, Expositions",eng,https://covers.openlibrary.org/b/id/12890726-L.jpg
Outstanding Broadway dramas and comedies,Heinz Dietrich Fischer,2013,"Pulitzer Prizes, Drama, Awards, Comedy, Pulitzerpreis, Preisträger, Theater, Performing Arts",eng,https://covers.openlibrary.org/b/id/10564837-L.jpg
"The world's biggest book of photography competitions, awards, grants & places to sell your photos online",Steve Donovan,2010,"Photography, Competitions, Awards, Artistic Photography",eng,https://covers.openlibrary.org/b/id/10565187-L.jpg
Homeless at age 13 to a college graduate,Anthony Devonta Ross,2013,"Juvenile literature, Awards, African American homeless persons, Biography, African American college graduates, United States Interagency Council on Homelessness",eng,https://covers.openlibrary.org/b/id/10642816-L.jpg
"Hockey's Heroes 1994 (Year in Sports, 1994)",Bob Italia,September 1994,"Sports & Recreation, Juvenile Nonfiction, Children: Grades 4-6, General, Sports & Recreation - Hockey",eng,https://covers.openlibrary.org/b/id/11645521-L.jpg
"The national convention badges, membership badges, & award medals of the American Legion",Peter J. Eisert,2004,"Awards, Medals, American Legion",eng,https://covers.openlibrary.org/b/id/12637563-L.jpg
Baseball's best,Bob Italia,1993,"Baseball players -- Biography -- Juvenile literature., Baseball -- Awards -- Juvenile literature., Baseball -- Records -- Juvenile literature., Baseball -- Records., Baseball players.",eng,https://covers.openlibrary.org/b/id/8549773-L.jpg
The Dobell prize for drawing,Hendrik Kolenberg,2004,"Drawing, Exhibitions, Australian Drawing, Awards, Dobell Prize for Drawing",eng,https://covers.openlibrary.org/b/id/10749380-L.jpg
Huan qiu huo jiang dian ying dang an,Er Li,2008,"Motion pictures, Awards, Dian ying ping lun",chi,https://covers.openlibrary.org/b/id/12480240-L.jpg
Die Berliner Akademie der Wissenschaften,"Hartkopf, Werner.",1992,"Akademie der Wissenschaften der DDR -- History., Akademie der Wissenschaften der DDR -- Registers.",ger,https://covers.openlibrary.org/b/id/3957297-L.jpg
Characteristics of compassion,Helen Meldrum,2010,"Physicians -- United States -- Biography, Physicians -- Awards -- United States, Physicians -- Biography, Empathy -- Biography, Physician's Role -- Biography, Physician-Patient Relations -- Biography",eng,https://covers.openlibrary.org/b/id/13285615-L.jpg
BRAVERY AWARDS FOR AERIAL COMBAT,Alan Cooper,November 2007,"Air forces & warfare, History of specific subjects, History, History - Military / War, Military, Europe - Great Britain - General, Military - Aviation, History / Military / Aviation, Awards, Great Britain., Medals, Non-commissioned officers, Royal Air Force",eng,https://covers.openlibrary.org/b/id/2993390-L.jpg
"I premi del cinema, 1927-1990",Enrico Lancia,1991,Motion pictures -- Awards -- History.,ita,https://covers.openlibrary.org/b/id/3984653-L.jpg
Children's book awards international,Laura J. Smith,1992,"Children's literature -- Awards -- Directories., Young adult literature -- Awards -- Directories., Children's literature -- Illustrations -- Awards -- Directories., Young adult literature -- Illustrations -- Awards -- Directories., Book industries and trade -- Awards -- Directories.",eng,https://covers.openlibrary.org/b/id/8104107-L.jpg
Der Agon im Mythos,Ingomar Weiler,1974,"Mythology, Greek., Awards -- Greece.",ger,https://covers.openlibrary.org/b/id/4446674-L.jpg
Past to present,Institute of Electrical and Electronics Engineers,1984,"Institute of Electrical and Electronics Engineers, Electric engineering -- Awards, Electronics -- Awards",eng,https://covers.openlibrary.org/b/id/12579518-L.jpg
Music from far and wide,Karen Bliss,2010,"Canadian Academy of Recording Arts and Sciences, Popular music, Awards, Juno Awards",eng,https://covers.openlibrary.org/b/id/9273863-L.jpg
Variety major U.S. showbusiness awards,Mike Kaplan,1982,Performing arts -- Awards -- United States.,eng,https://covers.openlibrary.org/b/id/8509894-L.jpg
"Saishin bunkashō jiten, 1996-2003",Nichigai Asoshiētsu,2003,"Bunka kunshō., Social sciences -- Japan -- Awards., Humanities -- Japan -- Awards.",jpn,https://covers.openlibrary.org/b/id/5533437-L.jpg
Best newspaper writing 2006-2007 edition,Aly Colón,2007,"Reportage literature, American., Journalism -- Competitions., Journalism -- Awards -- United States., Feature stories.",eng,https://covers.openlibrary.org/b/id/10347005-L.jpg
The Pocket guide to the Baldrige Award Criteria,Mark Graham Brown,2008,"BUSINESS & ECONOMICS, Quality Control, Awards, Total Quality Management, Malcolm Baldrige National Quality Award, Total quality management",eng,https://covers.openlibrary.org/b/id/8707455-L.jpg
