title,author,cover_url,publish_date,language,subjects
helen feifel: something else shapes : lingener kunstpreis 2020 = lingen art prize 2020,"helen feifel, meike behm",https://openlibrary.org/images/icons/avatar_book-sm.png,2021,german,"exhibitions, awards, kunsthalle lingen, helen feifel (1983-)"
architekturpreis nrw 2021,bund deutscher architektinnen und architekten bda landesverband nordrhein-westfalen,https://openlibrary.org/images/icons/avatar_book-sm.png,2021,german,"architecture, awards, exhibitions, germany, north rhine-westphalia"
beton 21: architekturpreis = prix d'architecture:architecture prize,betonsuisse marketing ag,https://openlibrary.org/images/icons/avatar_book-sm.png,2021,multiple languages,"architecture, awards, switzerland"
sten a olssons kulturstipendium 2020,"sara michaëlsson, magnus haglund",https://openlibrary.org/images/icons/avatar_book-sm.png,2021,swedish,"swedish art, arts, awards, scholarships, fellowships, sten a olssons stiftelse för forskning och kultur, sweden, göteborg"
terrafibra architectures,"dominique gauzin-müller, aurélie vissac",https://openlibrary.org/images/icons/avatar_book-sm.png,2021,french,"adobe houses, exhibitions, awards, earth construction, organic architecture, sustainable architecture, terrafibra awards"
"jāʼizat al-malik ʻabd al-ʻazīz lil-buḥūth al-ʻilmīyah fī qaḍāyā al-ṭufūlah wa-al-tanmiyah fī al-waṭan al-ʻarabī: al-buḥūth al-fāʼizah fī al-dawrah al-thāniyah ""tamkīn al-ṭifl al-ʻarabī fī ʻaṣr al-thawrah al-ṣināʻiyah al-rābiʻah, 2019-2021"" = king abdulaziz prize for scientific research on childhood and development : the winning research in the second cycle of the prize ''the empowerment of arab children in the era of the fourth industrial revolution, 2019-2021''",arab council for childhood and developme...,https://openlibrary.org/images/icons/avatar_book-sm.png,2021,arabic,"child development, research, effect of technological innovations on, awards, arab countries, saudi arabia, 21st century"
33o. prêmio design museu da casa brasileira: premiados e selecionados,brazil) prêmio design museu da casa bras...,https://openlibrary.org/images/icons/avatar_book-sm.png,2021,portuguese,"industrial design, exhibitions, awards, design, history, posters, brazil, 21st century"
årets bild 2021: främjar skickligt utförda yrkespresentationer inom bildjournalistiken,martin von krogh; vilhelm stokstad,https://openlibrary.org/images/icons/avatar_book-sm.png,2021,swedish,"photojournalism, artistic photography, awards, sweden"
arkitektur i trä: träpriset 2020 = architecture in wood : the swedish wood award 2020,svenskt trä (organization),https://openlibrary.org/images/icons/avatar_book-sm.png,2021,swedish,"wooden building, awards, swedish architecture, sweden"
la vita che danza: storie dal premio internazionale di danza classica maria antonietta berlusconi per i giovani,gisella zilembo,https://openlibrary.org/images/icons/avatar_book-sm.png,2021,italian,"ballet, awards, history, ballet dancers, premio mab, italy, 21st century"
